,date,rate,symbol,sentiment,count
201,44:11.8,9250.04,BTCUSDT,0.387442105,57
202,45:13.2,9254,BTCUSDT,0.416058822,34
203,46:15.0,9258.03,BTCUSDT,0.459648215,56
204,47:16.5,9258.99,BTCUSDT,0.47267917,48
205,48:18.3,9258.99,BTCUSDT,0.523352178,46
206,49:19.9,9254,BTCUSDT,0.496862746,51
207,50:21.3,9259.99,BTCUSDT,0.480353332,45
208,51:22.9,9258,BTCUSDT,0.453055361,56
209,52:24.3,9254.46,BTCUSDT,0.436986959,46
210,53:25.8,9247.99,BTCUSDT,0.472981821,44
211,54:27.3,9247.99,BTCUSDT,0.446200001,44
212,55:28.7,9245.82,BTCUSDT,0.456066669,42
213,56:30.4,9244.23,BTCUSDT,0.456534483,29
214,57:32.2,9235.08,BTCUSDT,0.400187502,40
215,58:33.9,9234,BTCUSDT,0.481702502,40
216,59:35.8,9230.06,BTCUSDT,0.32581096,73
217,00:37.4,9239.99,BTCUSDT,0.372350912,55
218,01:39.1,9226.32,BTCUSDT,0.533200003,43
219,02:40.6,9225.02,BTCUSDT,0.450212903,62
220,03:42.0,9228,BTCUSDT,0.459211112,36
221,04:43.6,9220,BTCUSDT,0.455122223,72
222,05:45.1,9224.48,BTCUSDT,0.470312502,56
223,06:46.6,9223.67,BTCUSDT,0.456489092,55
224,07:48.3,9225.08,BTCUSDT,0.442112001,50
225,08:49.7,9229.99,BTCUSDT,0.503827908,43
226,09:51.2,9240.99,BTCUSDT,0.361875558,45
227,10:52.7,9237,BTCUSDT,0.499920407,49
228,11:54.4,9230,BTCUSDT,0.40301163,43
229,12:55.9,9232.79,BTCUSDT,0.553857145,49
230,13:57.5,9233.06,BTCUSDT,0.403616667,54
231,14:59.0,9233.06,BTCUSDT,0.445865519,58
232,16:00.4,9227.89,BTCUSDT,0.513860375,53
233,17:01.9,9225.99,BTCUSDT,0.420714926,67
234,18:03.4,9225.99,BTCUSDT,0.426166668,54
235,19:04.9,9224.21,BTCUSDT,0.480656525,46
236,20:06.4,9038.79,BTCUSDT,0.508844185,43
237,21:07.9,9228,BTCUSDT,0.485280952,63
238,22:09.4,9230,BTCUSDT,0.445808928,56
239,23:10.9,9228.99,BTCUSDT,0.474866072,56
240,24:12.3,9235.75,BTCUSDT,0.568054002,50
241,25:13.8,9240,BTCUSDT,0.395837097,62
242,26:15.3,9236,BTCUSDT,0.439725585,43
243,27:16.8,9241.85,BTCUSDT,0.492912969,54
244,28:18.2,9245.01,BTCUSDT,0.378916664,48
245,29:19.7,9236.1,BTCUSDT,0.457587274,55
246,30:21.2,9250,BTCUSDT,0.420071429,49
247,31:22.6,9250,BTCUSDT,0.403072002,50
248,32:24.1,9249.5,BTCUSDT,0.459605455,55
249,33:25.6,9243.51,BTCUSDT,0.448788237,51
250,34:27.1,9243.51,BTCUSDT,0.499687304,63
251,35:28.8,9240,BTCUSDT,0.446058823,51
252,36:30.4,9242.94,BTCUSDT,0.450721742,46
253,37:31.9,9242.94,BTCUSDT,0.552336669,60
